__time,terminal,flight,arrivals,departures
2006-08-31T23:00:00.000Z,Terminal 4,Domestic,379889,375614
2006-08-31T23:00:00.000Z,Terminal 4,International,57183,46217
2006-08-31T23:00:00.000Z,Terminal 5,Domestic,140796,137659
2006-08-31T23:00:00.000Z,Terminal 5,International,20688,23665
2006-08-31T23:00:00.000Z,Terminal 6,Domestic,203218,203971
2006-08-31T23:00:00.000Z,Terminal 6,International,5049,3446
2006-08-31T23:00:00.000Z,Terminal 7,Domestic,241417,240262
2006-08-31T23:00:00.000Z,Terminal 7,International,32678,38656
2006-08-31T23:00:00.000Z,Terminal 8,Domestic,114518,110864
2006-08-31T23:00:00.000Z,Tom Bradley International Terminal,Domestic,2990,0
2006-08-31T23:00:00.000Z,Tom Bradley International Terminal,International,364109,342663
2006-09-30T23:00:00.000Z,Imperial Terminal,Domestic,266,149
2006-09-30T23:00:00.000Z,Misc. Terminal,Domestic,456,560
2006-09-30T23:00:00.000Z,Terminal 1,Domestic,389307,400200
2006-09-30T23:00:00.000Z,Terminal 1,International,0,330
2006-09-30T23:00:00.000Z,Terminal 2,Domestic,103066,102200
2006-09-30T23:00:00.000Z,Terminal 2,International,157705,159191
2006-09-30T23:00:00.000Z,Terminal 3,Domestic,146297,142307
2006-09-30T23:00:00.000Z,Terminal 3,International,17982,47829
2006-09-30T23:00:00.000Z,Terminal 4,Domestic,409053,397366
2006-09-30T23:00:00.000Z,Terminal 4,International,53443,50131
2006-09-30T23:00:00.000Z,Terminal 5,Domestic,155735,153750
2006-09-30T23:00:00.000Z,Terminal 5,International,20845,24564
2006-09-30T23:00:00.000Z,Terminal 6,Domestic,219489,216110
2006-09-30T23:00:00.000Z,Terminal 6,International,3569,3103
2006-09-30T23:00:00.000Z,Terminal 7,Domestic,258890,256534
2006-09-30T23:00:00.000Z,Terminal 7,International,31084,38416
2006-09-30T23:00:00.000Z,Terminal 8,Domestic,124154,122141
2006-09-30T23:00:00.000Z,Tom Bradley International Terminal,International,349984,342215
2006-11-01T00:00:00.000Z,Imperial Terminal,Domestic,269,280
2006-11-01T00:00:00.000Z,Misc. Terminal,Domestic,706,556
2006-11-01T00:00:00.000Z,Terminal 1,Domestic,414626,410856
2006-11-01T00:00:00.000Z,Terminal 1,International,0,637
2006-11-01T00:00:00.000Z,Terminal 2,Domestic,100641,100021
2006-11-01T00:00:00.000Z,Terminal 2,International,147574,144960
2006-11-01T00:00:00.000Z,Terminal 3,Domestic,150518,146016
2006-11-01T00:00:00.000Z,Terminal 3,International,18641,55265
2006-11-01T00:00:00.000Z,Terminal 4,Domestic,399315,398286
2006-11-01T00:00:00.000Z,Terminal 4,International,56760,42307
2006-11-01T00:00:00.000Z,Terminal 5,Domestic,153848,153909
2006-11-01T00:00:00.000Z,Terminal 5,International,23116,29027
2006-11-01T00:00:00.000Z,Terminal 6,Domestic,223027,221306
2006-11-01T00:00:00.000Z,Terminal 6,International,1663,3803
2006-11-01T00:00:00.000Z,Terminal 7,Domestic,244408,250410
2006-11-01T00:00:00.000Z,Terminal 7,International,27898,37141
2006-11-01T00:00:00.000Z,Terminal 8,Domestic,115776,113728
2006-11-01T00:00:00.000Z,Tom Bradley International Terminal,Domestic,70,95
2006-11-01T00:00:00.000Z,Tom Bradley International Terminal,International,332217,305383
2006-12-01T00:00:00.000Z,Imperial Terminal,Domestic,233,249
2006-12-01T00:00:00.000Z,Misc. Terminal,Domestic,799,557
2006-12-01T00:00:00.000Z,Misc. Terminal,International,3,0
2006-12-01T00:00:00.000Z,Terminal 1,Domestic,415516,418324
2006-12-01T00:00:00.000Z,Terminal 1,International,0,720
2006-12-01T00:00:00.000Z,Terminal 2,Domestic,96915,102761
2006-12-01T00:00:00.000Z,Terminal 2,International,158947,167888
2006-12-01T00:00:00.000Z,Terminal 3,Domestic,151011,156000
2006-12-01T00:00:00.000Z,Terminal 3,International,23419,62891
2006-12-01T00:00:00.000Z,Terminal 4,Domestic,414895,422171
2006-12-01T00:00:00.000Z,Terminal 4,International,62552,44651
2006-12-01T00:00:00.000Z,Terminal 5,Domestic,154062,159526
2006-12-01T00:00:00.000Z,Terminal 5,International,28230,45877
2006-12-01T00:00:00.000Z,Terminal 6,Domestic,223044,225614
2006-12-01T00:00:00.000Z,Terminal 6,International,1043,6820
2006-12-01T00:00:00.000Z,Terminal 7,Domestic,253102,263836
2006-12-01T00:00:00.000Z,Terminal 7,International,31720,40941
2006-12-01T00:00:00.000Z,Terminal 8,Domestic,117047,112137
2006-12-01T00:00:00.000Z,Tom Bradley International Terminal,International,352428,356403
2007-01-01T00:00:00.000Z,Imperial Terminal,Domestic,284,256
2007-01-01T00:00:00.000Z,Misc. Terminal,Domestic,664,598
2007-01-01T00:00:00.000Z,Terminal 1,Domestic,392130,381419
2007-01-01T00:00:00.000Z,Terminal 1,International,0,251
2007-01-01T00:00:00.000Z,Terminal 2,Domestic,91493,88134
2007-01-01T00:00:00.000Z,Terminal 2,International,166272,158121
2007-01-01T00:00:00.000Z,Terminal 3,Domestic,139038,139312
2007-01-01T00:00:00.000Z,Terminal 3,International,23551,58031
2007-01-01T00:00:00.000Z,Terminal 4,Domestic,395418,384528
2007-01-01T00:00:00.000Z,Terminal 4,International,60786,45294
2007-01-01T00:00:00.000Z,Terminal 5,Domestic,148670,140066
2007-01-01T00:00:00.000Z,Terminal 5,International,39717,40452
2007-01-01T00:00:00.000Z,Terminal 6,Domestic,199926,186338
2007-01-01T00:00:00.000Z,Terminal 6,International,756,4750
2007-01-01T00:00:00.000Z,Terminal 7,Domestic,243144,244468
2007-01-01T00:00:00.000Z,Terminal 7,International,34556,39908
2007-01-01T00:00:00.000Z,Terminal 8,Domestic,114032,115868
2007-01-01T00:00:00.000Z,Terminal 8,International,3273,3575
2007-01-01T00:00:00.000Z,Tom Bradley International Terminal,International,394233,326504
2007-02-01T00:00:00.000Z,Misc. Terminal,Domestic,315,294
2007-02-01T00:00:00.000Z,Terminal 1,Domestic,359940,354347
2007-02-01T00:00:00.000Z,Terminal 1,International,0,285
2007-02-01T00:00:00.000Z,Terminal 2,Domestic,82723,82926
2007-02-01T00:00:00.000Z,Terminal 2,International,141149,138717
2007-02-01T00:00:00.000Z,Terminal 3,Domestic,130171,125711
2007-02-01T00:00:00.000Z,Terminal 3,International,22914,57810
2007-02-01T00:00:00.000Z,Terminal 4,Domestic,355011,351635
2007-02-01T00:00:00.000Z,Terminal 4,International,51318,40357
2007-02-01T00:00:00.000Z,Terminal 5,Domestic,130192,130205
2007-02-01T00:00:00.000Z,Terminal 5,International,27250,31332
2007-02-01T00:00:00.000Z,Terminal 6,Domestic,181432,174345
2007-02-01T00:00:00.000Z,Terminal 6,International,345,3944
2007-02-01T00:00:00.000Z,Terminal 7,Domestic,226053,227577
2007-02-01T00:00:00.000Z,Terminal 7,International,28738,35543
2007-02-01T00:00:00.000Z,Terminal 8,Domestic,111075,108997
2007-02-01T00:00:00.000Z,Terminal 8,International,3093,3136
2007-02-01T00:00:00.000Z,Tom Bradley International Terminal,International,307039,279374
2007-03-01T00:00:00.000Z,Imperial Terminal,Domestic,131,43
2007-03-01T00:00:00.000Z,Misc. Terminal,Domestic,792,704
2007-03-01T00:00:00.000Z,Terminal 1,Domestic,429669,438017
2007-03-01T00:00:00.000Z,Terminal 1,International,0,358
2007-03-01T00:00:00.000Z,Terminal 2,Domestic,94524,97610
2007-03-01T00:00:00.000Z,Terminal 2,International,163261,163403
2007-03-01T00:00:00.000Z,Terminal 3,Domestic,164982,162928
2007-03-01T00:00:00.000Z,Terminal 3,International,25082,67480
2007-03-01T00:00:00.000Z,Terminal 4,Domestic,416798,428781
2007-03-01T00:00:00.000Z,Terminal 4,International,58574,47005
2007-03-01T00:00:00.000Z,Terminal 5,Domestic,173700,177924
2007-03-01T00:00:00.000Z,Terminal 5,International,27508,38705
2007-03-01T00:00:00.000Z,Terminal 6,Domestic,214580,214758
2007-03-01T00:00:00.000Z,Terminal 6,International,1005,4342
2007-03-01T00:00:00.000Z,Terminal 7,Domestic,276708,289375
2007-03-01T00:00:00.000Z,Terminal 7,International,32400,40181
2007-03-01T00:00:00.000Z,Terminal 8,Domestic,125657,123375
2007-03-01T00:00:00.000Z,Terminal 8,International,3543,3501
2007-03-01T00:00:00.000Z,Tom Bradley International Terminal,International,394072,340338
2007-03-31T23:00:00.000Z,Imperial Terminal,Domestic,156,103
2007-03-31T23:00:00.000Z,Misc. Terminal,Domestic,359,370
2007-03-31T23:00:00.000Z,Misc. Terminal,International,6,0
2007-03-31T23:00:00.000Z,Terminal 1,Domestic,429147,430188
2007-03-31T23:00:00.000Z,Terminal 1,International,0,299
2007-03-31T23:00:00.000Z,Terminal 2,Domestic,91216,93558
2007-03-31T23:00:00.000Z,Terminal 2,International,147804,147734
2007-03-31T23:00:00.000Z,Terminal 3,Domestic,159461,165000
2007-03-31T23:00:00.000Z,Terminal 3,International,23327,65249
2007-03-31T23:00:00.000Z,Terminal 4,Domestic,416559,419868
2007-03-31T23:00:00.000Z,Terminal 4,International,60702,46986
2007-03-31T23:00:00.000Z,Terminal 5,Domestic,168675,167654
2007-03-31T23:00:00.000Z,Terminal 5,International,33189,41390
2007-03-31T23:00:00.000Z,Terminal 6,Domestic,218441,220755
2007-03-31T23:00:00.000Z,Terminal 6,International,1113,4188
2007-03-31T23:00:00.000Z,Terminal 7,Domestic,265226,278807
